Name,Phone,Stars,Address,Number of Reviews,Hours of Operation
Fremont House,Business websitefremonthouseca.com,4.7 star rating,"5030 Hwy 140 Mariposa, CA 95338",12 reviews,9:00 AM - 5:30 PM
Northshore Boardwear,(559) 642-3898,3.7 star rating,"40034 Highway 49 Ste A6 Oakhurst, CA 93644",7 reviews,10:00 AM - 5:30 PM
